trade_date,code,name,source,source_date
2026-06-23,600019,宝钢股份,csindex,2026-08-29
2026-06-23,600023,浙能电力,csindex,2026-08-29
2026-06-23,600025,华能水电,csindex,2026-08-29
2026-06-23,600026,中远海能,csindex,2026-08-29
2026-06-23,600027,华电国际,csindex,2026-08-29
2026-06-23,600028,中国石化,csindex,2026-08-29
2026-06-23,600029,南方航空,csindex,2026-08-29
2026-06-23,600030,中信证券,csindex,2026-08-29
2026-06-23,600031,三一重工,csindex,2026-08-29
2026-06-23,600036,招商银行,csindex,2026-08-29
2026-06-23,600039,四川路桥,csindex,2026-08-29
2026-06-23,600048,保利发展,csindex,2026-08-29
2026-06-23,600050,中国联通,csindex,2026-08-29
2026-06-23,600061,国投资本,csindex,2026-08-29
2026-06-23,600066,宇通客车,csindex,2026-08-29
2026-06-23,600085,同仁堂,csindex,2026-08-29
2026-06-23,600089,特变电工,csindex,2026-08-29
2026-06-23,600104,上汽集团,csindex,2026-08-29
2026-06-23,600111,北方稀土,csindex,2026-08-29
2026-06-23,600115,中国东航,csindex,2026-08-29
2026-06-23,600118,中国卫星,csindex,2026-08-29
2026-06-23,600150,中国船舶,csindex,2026-08-29
2026-06-23,600160,巨化股份,csindex,2026-08-29
2026-06-23,600176,中国巨石,csindex,2026-08-29
2026-06-23,600183,生益科技,csindex,2026-08-29
2026-06-23,600188,兖矿能源,csindex,2026-08-29
2026-06-23,600196,复星医药,csindex,2026-08-29
2026-06-23,600219,南山铝业,csindex,2026-08-29
2026-06-23,600221,海航控股,csindex,2026-08-29
2026-06-23,600233,圆通速递,csindex,2026-08-29
2026-06-23,600276,恒瑞医药,csindex,2026-08-29
2026-06-23,600309,万华化学,csindex,2026-08-29
2026-06-23,600346,恒力石化,csindex,2026-08-29
2026-06-23,600362,江西铜业,csindex,2026-08-29
2026-06-23,600372,中航机载,csindex,2026-08-29
2026-06-23,600406,国电南瑞,csindex,2026-08-29
2026-06-23,600415,小商品城,csindex,2026-08-29
2026-06-23,600426,华鲁恒升,csindex,2026-08-29
2026-06-23,600436,片仔癀,csindex,2026-08-29
2026-06-23,600438,通威股份,csindex,2026-08-29
2026-06-23,600460,士兰微,csindex,2026-08-29
2026-06-23,600482,中国动力,csindex,2026-08-29
2026-06-23,600489,中金黄金,csindex,2026-08-29
2026-06-23,600515,海南机场,csindex,2026-08-29
2026-06-23,600519,贵州茅台,csindex,2026-08-29
2026-06-23,600522,中天科技,csindex,2026-08-29
2026-06-23,600547,山东黄金,csindex,2026-08-29
2026-06-23,600549,厦门钨业,csindex,2026-08-29
2026-06-23,600570,恒生电子,csindex,2026-08-29
2026-06-23,600584,长电科技,csindex,2026-08-29
2026-06-23,600585,海螺水泥,csindex,2026-08-29
2026-06-23,600588,用友网络,csindex,2026-08-29
2026-06-23,600600,青岛啤酒,csindex,2026-08-29
2026-06-23,600660,福耀玻璃,csindex,2026-08-29
2026-06-23,600674,川投能源,csindex,2026-08-29
2026-06-23,600690,海尔智家,csindex,2026-08-29
2026-06-23,600741,华域汽车,csindex,2026-08-29
2026-06-23,600760,中航沈飞,csindex,2026-08-29
2026-06-23,600795,国电电力,csindex,2026-08-29
2026-06-23,600803,新奥股份,csindex,2026-08-29
2026-06-23,600809,山西汾酒,csindex,2026-08-29
2026-06-23,600845,宝信软件,csindex,2026-08-29
2026-06-23,600875,东方电气,csindex,2026-08-29
2026-06-23,600886,国投电力,csindex,2026-08-29
2026-06-23,600887,伊利股份,csindex,2026-08-29
2026-06-23,600893,航发动力,csindex,2026-08-29
2026-06-23,600900,长江电力,csindex,2026-08-29
2026-06-23,600905,三峡能源,csindex,2026-08-29
2026-06-23,600918,中泰证券,csindex,2026-08-29
2026-06-23,600919,江苏银行,csindex,2026-08-29
2026-06-23,600926,杭州银行,csindex,2026-08-29
2026-06-23,600930,华电新能,csindex,2026-08-29
2026-06-23,600938,中国海油,csindex,2026-08-29
2026-06-23,600941,中国移动,csindex,2026-08-29
2026-06-23,600958,东方证券,csindex,2026-08-29
2026-06-23,600989,宝丰能源,csindex,2026-08-29
2026-06-23,600999,招商证券,csindex,2026-08-29
2026-06-23,601006,大秦铁路,csindex,2026-08-29
2026-06-23,601009,南京银行,csindex,2026-08-29
2026-06-23,601012,隆基绿能,csindex,2026-08-29
2026-06-23,601018,宁波港,csindex,2026-08-29
2026-06-23,601021,春秋航空,csindex,2026-08-29
2026-06-23,601058,赛轮轮胎,csindex,2026-08-29
2026-06-23,601059,信达证券,csindex,2026-08-29
2026-06-23,601066,中信建投,csindex,2026-08-29
2026-06-23,601077,渝农商行,csindex,2026-08-29
2026-06-23,601088,中国神华,csindex,2026-08-29
2026-06-23,601100,恒立液压,csindex,2026-08-29
2026-06-23,601111,中国国航,csindex,2026-08-29
2026-06-23,601117,中国化学,csindex,2026-08-29
2026-06-23,601127,赛力斯,csindex,2026-08-29
2026-06-23,601136,首创证券,csindex,2026-08-29
2026-06-23,601138,工业富联,csindex,2026-08-29
2026-06-23,601166,兴业银行,csindex,2026-08-29
2026-06-23,601169,北京银行,csindex,2026-08-29
2026-06-23,601186,中国铁建,csindex,2026-08-29
2026-06-23,601211,国泰海通,csindex,2026-08-29
2026-06-23,601225,陕西煤业,csindex,2026-08-29
2026-06-23,601229,上海银行,csindex,2026-08-29
2026-06-23,601238,广汽集团,csindex,2026-08-29
2026-06-23,601288,农业银行,csindex,2026-08-29
2026-06-23,601318,中国平安,csindex,2026-08-29
2026-06-23,601319,中国人保,csindex,2026-08-29
2026-06-23,601328,交通银行,csindex,2026-08-29
2026-06-23,601336,新华保险,csindex,2026-08-29
2026-06-23,601360,三六零,csindex,2026-08-29
2026-06-23,601377,兴业证券,csindex,2026-08-29
2026-06-23,601390,中国中铁,csindex,2026-08-29
2026-06-23,601398,工商银行,csindex,2026-08-29
2026-06-23,601456,国联民生,csindex,2026-08-29
2026-06-23,601600,中国铝业,csindex,2026-08-29
2026-06-23,601601,中国太保,csindex,2026-08-29
2026-06-23,601607,上海医药,csindex,2026-08-29
2026-06-23,601618,中国中冶,csindex,2026-08-29
2026-06-23,601628,中国人寿,csindex,2026-08-29
2026-06-23,601633,长城汽车,csindex,2026-08-29
2026-06-23,601658,邮储银行,csindex,2026-08-29
2026-06-23,601668,中国建筑,csindex,2026-08-29
2026-06-23,601669,中国电建,csindex,2026-08-29
2026-06-23,601688,华泰证券,csindex,2026-08-29
2026-06-23,601689,拓普集团,csindex,2026-08-29
2026-06-23,601698,中国卫通,csindex,2026-08-29
2026-06-23,601727,上海电气,csindex,2026-08-29
2026-06-23,601728,中国电信,csindex,2026-08-29
2026-06-23,601766,中国中车,csindex,2026-08-29
2026-06-23,601788,光大证券,csindex,2026-08-29
2026-06-23,601800,中国交建,csindex,2026-08-29
2026-06-23,601816,京沪高铁,csindex,2026-08-29
2026-06-23,601818,光大银行,csindex,2026-08-29
2026-06-23,601825,沪农商行,csindex,2026-08-29
2026-06-23,601838,成都银行,csindex,2026-08-29
2026-06-23,601857,中国石油,csindex,2026-08-29
2026-06-23,601868,中国能建,csindex,2026-08-29
2026-06-23,601872,招商轮船,csindex,2026-08-29
2026-06-23,601877,正泰电器,csindex,2026-08-29
2026-06-23,601878,浙商证券,csindex,2026-08-29
2026-06-23,601881,中国银河,csindex,2026-08-29
2026-06-23,601888,中国中免,csindex,2026-08-29
2026-06-23,601898,中煤能源,csindex,2026-08-29
2026-06-23,601899,紫金矿业,csindex,2026-08-29
2026-06-23,601901,方正证券,csindex,2026-08-29
2026-06-23,601916,浙商银行,csindex,2026-08-29
2026-06-23,601919,中远海控,csindex,2026-08-29
2026-06-23,601939,建设银行,csindex,2026-08-29
2026-06-23,601985,中国核电,csindex,2026-08-29
2026-06-23,601988,中国银行,csindex,2026-08-29
2026-06-23,601995,中金公司,csindex,2026-08-29
2026-06-23,601998,中信银行,csindex,2026-08-29
2026-06-23,603019,中科曙光,csindex,2026-08-29
2026-06-23,603259,药明康德,csindex,2026-08-29
2026-06-23,603260,合盛硅业,csindex,2026-08-29
2026-06-23,603288,海天味业,csindex,2026-08-29
2026-06-23,603296,华勤技术,csindex,2026-08-29
2026-06-23,603369,今世缘,csindex,2026-08-29
2026-06-23,603392,万泰生物,csindex,2026-08-29
2026-06-23,603501,豪威集团,csindex,2026-08-29
2026-06-23,603799,华友钴业,csindex,2026-08-29
2026-06-23,603893,瑞芯微,csindex,2026-08-29
2026-06-23,603986,兆易创新,csindex,2026-08-29
2026-06-23,603993,洛阳钼业,csindex,2026-08-29
2026-06-23,605117,德业股份,csindex,2026-08-29
2026-06-23,605499,东鹏饮料,csindex,2026-08-29
2026-06-23,688008,澜起科技,csindex,2026-08-29
2026-06-23,688009,中国通号,csindex,2026-08-29
2026-06-23,688012,中微公司,csindex,2026-08-29
2026-06-23,688036,传音控股,csindex,2026-08-29
2026-06-23,688041,海光信息,csindex,2026-08-29
2026-06-23,688047,龙芯中科,csindex,2026-08-29
2026-06-23,688072,拓荆科技,csindex,2026-08-29
2026-06-23,688082,盛美上海,csindex,2026-08-29
2026-06-23,688111,金山办公,csindex,2026-08-29
2026-06-23,688126,沪硅产业,csindex,2026-08-29
2026-06-23,688183,生益电子,csindex,2026-08-29
2026-06-23,688223,晶科能源,csindex,2026-08-29
2026-06-23,688256,寒武纪,csindex,2026-08-29
2026-06-23,688271,联影医疗,csindex,2026-08-29
2026-06-23,688303,大全能源,csindex,2026-08-29
2026-06-23,688396,华润微,csindex,2026-08-29
2026-06-23,688472,阿特斯,csindex,2026-08-29
2026-06-23,688506,百利天恒,csindex,2026-08-29
2026-06-23,688521,芯原股份,csindex,2026-08-29
2026-06-23,688981,中芯国际,csindex,2026-08-29
2026-08-28,000001,平安银行,akshare,2026-08-29
2026-08-28,000002,万科A,akshare,2026-08-29
2026-08-28,000063,中兴通讯,akshare,2026-08-29
2026-08-28,000100,TCL科技,akshare,2026-08-29
2026-08-28,000157,中联重科,akshare,2026-08-29
2026-08-28,000166,申万宏源,akshare,2026-08-29
2026-08-28,000301,东方盛虹,akshare,2026-08-29
2026-08-28,000333,美的集团,akshare,2026-08-29
2026-08-28,000338,潍柴动力,akshare,2026-08-29
2026-08-28,000408,藏格矿业,akshare,2026-08-29
2026-08-28,000425,徐工机械,akshare,2026-08-29
2026-08-28,000538,云南白药,akshare,2026-08-29
2026-08-28,000568,泸州老窖,akshare,2026-08-29
2026-08-28,000596,古井贡酒,akshare,2026-08-29
2026-08-28,000617,中油资本,akshare,2026-08-29
2026-08-28,000625,长安汽车,akshare,2026-08-29
2026-08-28,000630,铜陵有色,akshare,2026-08-29
2026-08-28,000651,格力电器,akshare,2026-08-29
2026-08-28,000657,中钨高新,akshare,2026-08-29
2026-08-28,000708,中信特钢,akshare,2026-08-29
